reservation_id,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,country,meal,required_car_parking_spaces,total_of_special_requests,market_segment,distribution_channel,is_repeated_guest,reserved_room_type,assigned_room_type,deposit_type,agent,company,customer_type,adr,reservation_status,reservation_status_date,cluster,customer_segment
1,Resort Hotel,0,342,2015,July,27,1,0,0,2,0.0,0,PRT,BB,0,0,Direct,Direct,0,C,C,No Deposit,,,Transient,0.0,Check-Out,2015-01-07,2,2
2,Resort Hotel,0,737,2015,July,27,1,0,0,2,0.0,0,PRT,BB,0,0,Direct,Direct,0,C,C,No Deposit,,,Transient,0.0,Check-Out,2015-01-07,2,2
4,Resort Hotel,0,13,2015,July,27,1,0,1,1,0.0,0,GBR,BB,0,0,Corporate,Corporate,0,A,A,No Deposit,304.0,,Transient,75.0,Check-Out,2015-02-07,1,1
5,Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,GBR,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,98.0,Check-Out,2015-03-07,1,1
6,Resort Hotel,0,14,2015,July,27,1,0,2,2,0.0,0,GBR,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,98.0,Check-Out,2015-03-07,1,1
9,Resort Hotel,1,85,2015,July,27,1,0,3,2,0.0,0,PRT,BB,0,1,Online TA,TA/TO,0,A,A,No Deposit,240.0,,Transient,82.0,Canceled,2015-06-05,1,1
12,Resort Hotel,0,35,2015,July,27,1,0,4,2,0.0,0,PRT,HB,0,0,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,145.0,Check-Out,2015-05-07,1,1
14,Resort Hotel,0,18,2015,July,27,1,0,4,2,1.0,0,ESP,HB,0,1,Online TA,TA/TO,0,G,G,No Deposit,241.0,,Transient,154.77,Check-Out,2015-05-07,0,0
16,Resort Hotel,0,68,2015,July,27,1,0,4,2,0.0,0,IRL,BB,0,3,Online TA,TA/TO,0,D,E,No Deposit,240.0,,Transient,97.0,Check-Out,2015-05-07,0,0
19,Resort Hotel,0,0,2015,July,27,1,0,1,2,0.0,0,FRA,BB,0,0,Corporate,Corporate,0,A,G,No Deposit,,110.0,Transient,107.42,Check-Out,2015-02-07,1,1
20,Resort Hotel,0,7,2015,July,27,1,0,4,2,0.0,0,GBR,BB,0,1,Direct,Direct,0,G,G,No Deposit,250.0,,Transient,153.0,Check-Out,2015-05-07,0,0
21,Resort Hotel,0,37,2015,July,27,1,1,4,1,0.0,0,GBR,BB,0,1,Online TA,TA/TO,0,F,F,No Deposit,241.0,,Transient,97.29,Check-Out,2015-06-07,0,0
22,Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,PRT,BB,0,1,Direct,Direct,0,A,A,No Deposit,250.0,,Transient,84.67,Check-Out,2015-07-07,0,0
23,Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,PRT,BB,0,1,Direct,Direct,0,A,A,No Deposit,250.0,,Transient,84.67,Check-Out,2015-07-07,0,0
24,Resort Hotel,0,72,2015,July,27,1,2,4,2,0.0,0,PRT,BB,0,1,Direct,Direct,0,D,D,No Deposit,250.0,,Transient,99.67,Check-Out,2015-07-07,0,0
25,Resort Hotel,0,127,2015,July,27,1,2,5,2,0.0,0,GBR,HB,0,1,Offline TA/TO,TA/TO,0,D,I,No Deposit,115.0,,Contract,94.95,Check-Out,2015-01-07,2,2
27,Resort Hotel,0,48,2015,July,27,1,2,5,2,0.0,0,IRL,BB,0,0,Offline TA/TO,TA/TO,0,D,D,No Deposit,8.0,,Contract,79.5,Check-Out,2015-08-07,1,1
28,Resort Hotel,1,60,2015,July,27,1,2,5,2,0.0,0,PRT,BB,0,2,Online TA,TA/TO,0,E,E,No Deposit,240.0,,Transient,107.0,Canceled,2015-11-05,0,0
30,Resort Hotel,0,99,2015,July,27,1,2,5,2,0.0,0,PRT,BB,1,1,Online TA,TA/TO,0,D,D,No Deposit,240.0,,Transient,87.3,Check-Out,2015-08-07,0,0
34,Resort Hotel,0,69,2015,July,27,2,2,4,2,0.0,0,IRL,BB,0,0,Offline TA/TO,TA/TO,0,A,C,No Deposit,175.0,,Transient,65.5,Check-Out,2015-08-07,1,1
37,Resort Hotel,0,15,2015,July,27,2,1,3,2,0.0,0,ESP,BB,0,0,Online TA,TA/TO,0,A,C,No Deposit,240.0,,Transient,98.0,Check-Out,2015-06-07,1,1
40,Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,ROU,HB,0,1,Direct,Direct,0,E,E,No Deposit,250.0,,Transient,137.0,Check-Out,2015-07-07,0,0
43,Resort Hotel,0,16,2015,July,27,2,2,3,2,0.0,0,ESP,BB,0,0,Direct,Direct,0,F,F,No Deposit,,,Transient,123.0,Check-Out,2015-07-07,1,1
44,Resort Hotel,0,70,2015,July,27,2,2,3,2,0.0,0,ROU,HB,0,1,Direct,Direct,0,E,E,No Deposit,250.0,,Transient,137.0,Check-Out,2015-07-07,0,0
